label	frames	psnr_first_chunk	ssim_first_chunk	lpips_first_chunk	sharpness_all	flicker	musiq	sharp_0_160	musiq_0_160	sharp_160_320	musiq_160_320	sharp_320_477	musiq_320_477
band1	477	inf	1.0	0.0	316.7	18.237	64.27	408.8	66.12	249.8	61.68	291.0	63.69
band2	477	28.11	0.9005	0.0093	269.1	16.925	64.35	387.7	66.45	194.0	64.17	224.9	61.48
band3	477	25.34	0.832	0.0096	283.4	18.296	63.48	395.0	67.28	236.1	62.62	217.9	59.41
w12	477	26.61	0.8725	0.0093	327.4	15.95	66.74	406.3	66.25	227.2	65.16	349.2	68.6
w12_sink3	477	26.39	0.8683	0.0093	249.3	14.87	66.86	382.0	65.73	173.7	66.09	191.2	67.65
w10_sink3	477	27.48	0.883	0.0091	263.4	16.293	65.11	364.1	65.62	162.8	64.27	263.2	67.45
